SampleID,Iron,Cobalt,Copper,Zinc,Cadmium,Manganese,Selenium,Batch,MouseID,SampleType,Genotype,Sex
Y5_TS-SI,108.873,0.101,9.728,118.817,0.035,7.069,3.101,One,Y5,TS-SI,MUT,Male
Y6_TS-SI,75.549,0.069,8.204,105.777,0.018,4.437,3.062,One,Y6,TS-SI,MUT,Male
Y7_TS-SI,103.751,0.072,9.969,122.479,0.028,5.292,3.406,One,Y7,TS-SI,MUT,Male
Y8_TS-SI,125.265,0.106,9.934,122.135,0.045,5.675,3.575,One,Y8,TS-SI,MUT,Male
Y9_TS-SI,71.247,0.068,6.422,69.908,0.022,3.543,2.093,One,Y9,TS-SI,MUT,Male
G10_Blood,3725.813,0.021,2.629,23.72,0,0.061,2.986,Four,G10,Blood,WT,Male
G11_Blood,3164.237,0.013,2.286,22.854,0,0.055,2.998,Four,G11,Blood,WT,Male
G12_Blood,3123.429,0.015,2.813,23.05,0.004,0.145,3.901,Four,G12,Blood,WT,Male
G13_Blood,2932.138,0.014,2.334,21.109,0,0.049,3.615,Four,G13,Blood,WT,Male
G15_Blood,3881.182,0.022,3.389,29.672,0,0.064,4.69,Four,G15,Blood,WT,Male
G16_Blood,3962.776,0.031,3.826,30.58,0,0.07,4.817,Four,G16,Blood,WT,Male
G17_Blood,3069.892,0.008,2.847,21.914,0,0.083,3.485,Four,G17,Blood,WT,Male
G6_Blood,3944.658,0.007,3.272,30.77,0,0.064,4.493,Four,G6,Blood,WT,Male
G7_Blood,4144.641,0.008,3.481,32.881,0,0.065,4.587,Four,G7,Blood,WT,Male
G8_Blood,3577.137,0.007,2.963,27.134,0,0.118,3.89,Four,G8,Blood,WT,Male
J1_Blood,4442.122,0.007,4.027,32.603,0,0.122,5.782,Four,J1,Blood,WT,Female
J10_Blood,3993.47,0.012,4.28,32.629,0,0.07,5.783,Four,J10,Blood,WT,Female
J11_Blood,4422.108,0.009,4.6,35.152,0,0.111,5.861,Four,J11,Blood,WT,Female
J14_Blood,3033.538,0.007,2.997,23.747,0,0.084,4.698,Four,J14,Blood,WT,Female
J2_Blood,3172.961,0.196,11.128,36.117,0,0.097,5.706,Four,J2,Blood,WT,Female
J3_Blood,3468.668,0.008,3.012,28.337,0,0.078,4.339,Four,J3,Blood,WT,Female
J5_Blood,3140.815,0.006,3.06,24.787,0,0.082,5.261,Four,J5,Blood,WT,Female
J7_Blood,3360.735,0.007,3.747,28.097,0,0.102,4.619,Four,J7,Blood,WT,Female
J8_Blood,4056.275,0.008,3.877,32.565,0,0.102,6.151,Four,J8,Blood,WT,Female
J9_Blood,4171.654,0.009,4.281,35.652,0,0.116,6.187,Four,J9,Blood,WT,Female
K1_Blood,3946.661,0.016,4.32,33.85,0,0.113,5.944,Four,K1,Blood,MUT,Female
K10_Blood,4128.771,0.069,4.022,33.811,0,0.102,6.249,Four,K10,Blood,MUT,Female
K11_Blood,3856.889,0.006,3.514,32.964,0,0.099,5.362,Four,K11,Blood,MUT,Female
K2_Blood,3349.373,0.01,4.493,28.002,0,0.078,4.443,Four,K2,Blood,MUT,Female
K3_Blood,3210.377,0.01,3.524,26.655,0,0.085,4.579,Four,K3,Blood,MUT,Female
K5_Blood,2905.903,0.013,2.595,23.837,0,0.07,4.209,Four,K5,Blood,MUT,Female
K6_Blood,3024.732,0.005,2.953,23.661,0,0.061,4.616,Four,K6,Blood,MUT,Female
K7_Blood,3885.702,0.014,4.973,36.231,0,0.163,6.786,Four,K7,Blood,MUT,Female
K8_Blood,4209.276,0.008,4.064,36.664,0,0.099,6.504,Four,K8,Blood,MUT,Female
K9_Blood,3956.76,0.035,7.887,34.687,0,0.105,7.056,Four,K9,Blood,MUT,Female
Y10_Blood,4256.408,0.071,4.888,39.98,0,0.068,5.465,Four,Y10,Blood,MUT,Male
Y11_Blood,3649.271,0.01,3.52,31.191,0,0.048,4.702,Four,Y11,Blood,MUT,Male
Y12_Blood,3718.783,0.021,3.438,32.59,0,0.057,5.294,Four,Y12,Blood,MUT,Male
Y13_Blood,2465.411,0.016,2.291,21.229,0,0.033,3.59,Four,Y13,Blood,MUT,Male
Y14_Blood,2505.779,0.017,2.082,20.446,0,0.028,3.416,Four,Y14,Blood,MUT,Male
Y5_Blood,3797.076,0.008,3.862,35.633,0,0.056,4.71,Four,Y5,Blood,MUT,Male
Y6_Blood,2756.394,0.019,2.605,23.094,0,0.037,3.841,Four,Y6,Blood,MUT,Male
Y7_Blood,3963.336,0.043,3.407,35.953,0,0.052,6.244,Four,Y7,Blood,MUT,Male
Y8_Blood,3630.646,0.04,3.435,34.932,0,0.076,5.423,Four,Y8,Blood,MUT,Male
Y9_Blood,3788.66,0.018,3.396,40.123,0,0.08,4.309,Four,Y9,Blood,MUT,Male
